entity_id,slug,name,entity_type,vertical,tier,noindex,path,last_verified,source_count,filename
a400m,a400m,Airbus A400M Atlas,platform,military-aerospace,C,true,/research/military-aerospace/platform/a400m/,2026-08-29,2,a400m.json
aadyah-space,aadyah-space,Aadyah Space,company,space,B,false,/research/space/company/aadyah-space/,2026-08-30,1,aadyah-space.json
ada,ada,Aeronautical Development Agency (ADA),company,military-aerospace,A,false,/research/military-aerospace/company/ada/,2026-08-29,4,ada.json
mfg-017,adani-defence-aerospace-mfr-017,Adani Defence & Aerospace,manufacturer,drones-uas,A,false,/research/drones-uas/company/adani-defence-aerospace-mfr-017/,2026-08-29,4,adani-defence-aerospace-mfr-017.json
mfg-005,adani-defence-and-aerospace-mfg-005,Adani Defence & Aerospace,manufacturer,counter-uas,A,false,/research/counter-uas/manufacturer/adani-defence-and-aerospace-mfg-005/,2026-08-29,7,adani-defence-and-aerospace-mfg-005.json
drn-004,adani-drishti-10-starliner-drn-004,Adani Drishti 10 Starliner (Hermes 900),platform,drones-uas,A,false,/research/drones-uas/platform/adani-drishti-10-starliner-drn-004/,2026-08-29,4,adani-drishti-10-starliner-drn-004.json
aditya-l1,aditya-l1,Aditya-L1,platform,space,C,true,/research/space/entity/aditya-l1/,2026-08-30,2,aditya-l1.json
aequs,aequs,Aequs Limited,company,military-aerospace,B,false,/research/military-aerospace/company/aequs/,2026-08-29,3,aequs.json
agni,agni,Agni,platform,defence,C,true,/research/pillars/defence/entity/agni/,2026-08-30,1,agni.json
agnibaan-sorang,agnibaan-sorang,Agnikul Agnibaan — Suborbital-to-Orbital Programme,platform,space,B,false,/research/space/entity/agnibaan-sorang/,2026-08-29,4,agnibaan-sorang.json
agnibaan,agnibaan,Agnikul Agnibaan,platform,space,A,false,/research/space/entity/agnibaan/,2026-08-29,6,agnibaan.json
agnikul-cosmos,agnikul-cosmos,Agnikul Cosmos,company,space,B,false,/research/space/company/agnikul-cosmos/,2026-08-30,3,agnikul-cosmos.json
ah64,ah64,Boeing AH-64E Apache Guardian (India),platform,military-aerospace,A,false,/research/military-aerospace/platform/ah64/,2026-08-29,6,ah64.json
aiesl,aiesl,AI Engineering Services Limited (AIESL),company,military-aerospace,B,false,/research/military-aerospace/company/aiesl/,2026-08-29,3,aiesl.json
airbus-defence-space,airbus-defence-space,Airbus Defence and Space,company,space,B,false,/research/space/company/airbus-defence-space/,2026-08-30,1,airbus-defence-space.json
airbus-ds,airbus-ds,Airbus Defence and Space,company,military-aerospace,A,false,/research/military-aerospace/company/airbus-ds/,2026-08-29,5,airbus-ds.json
def-004,akash-ng-def-004,Akash-NG (New Generation) Surface-to-Air Missile,platform,defence,A,false,/research/pillars/defence/entity/akash-ng-def-004/,2026-08-29,4,akash-ng-def-004.json
akshath-aerospace,akshath-aerospace,Akshath Aerospace,company,space,B,false,/research/space/company/akshath-aerospace/,2026-08-30,1,akshath-aerospace.json
